element,id,amenity,operator,brand,cash_in,opening_hours,target,cafe_300,restaurant_300,pharmacy_300,shop_300,bus_stop_300,cafe_500,restaurant_500,pharmacy_500,shop_500,bus_stop_500,poi_sum_300,poi_sum_500
node,630992218.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,3,0,0,0,0,4,2,1,2,3,3,12
node,634805752.0,atm,"ПАО ""МТС-Банк""",,,,1,1,0,1,3,2,1,1,2,6,6,7,16
node,649013485.0,atm,,,,,1,1,3,2,2,3,1,3,3,4,3,11,14
node,656132952.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,7,2,2,2,1,14,7,3,4,2,14,30
node,661998601.0,atm,ПАО Сбербанк,Сбербанк,,,1,0,0,0,2,2,0,1,0,4,5,4,10
node,678293647.0,atm,"""СДМ-Банк"" (ПАО)",,,24/7,1,1,1,2,3,2,1,1,3,7,2,9,14
node,678295632.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,24/7,1,0,0,3,4,2,1,1,3,7,3,9,15
node,679133230.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,1,1,1,2,3,2,1,2,3,6,8,14
node,679134375.0,atm,Банк ВТБ (ПАО),ВТБ,yes,,1,3,2,4,3,2,6,3,7,8,11,14,35
node,691744699.0,atm,АО ЮниКредит Банк,ЮниКредит Банк,,,1,1,0,1,3,0,2,0,1,4,2,5,9
node,700872444.0,atm,ПАО Сбербанк,Сбербанк,,,1,1,1,2,3,2,2,1,3,8,5,9,19
node,701246437.0,atm,ПАО Сбербанк,Сбербанк,,,1,1,2,2,2,1,1,2,2,2,2,8,9
node,707954587.0,atm,ПАО Сбербанк,Сбербанк,,,1,2,1,0,0,2,2,1,0,1,6,5,10
node,708412766.0,atm,"АО ""Банк Русский Стандарт""",Русский Стандарт,,,1,4,0,3,3,4,10,2,11,6,8,14,37
node,717340926.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,0,0,2,2,4,0,0,5,5,8,8,18
node,724124486.0,atm,ВТБ,ВТБ,,,1,0,0,0,0,2,0,0,0,0,3,2,3
node,751993249.0,atm,"ПАО ""Промсвязьбанк""",Промсвязьбанк,,Mo-Su 09:00-22:00,1,1,0,6,5,11,2,0,6,7,14,23,29
node,751993253.0,atm,"ПАО ""Промсвязьбанк""",Промсвязьбанк,,,1,3,1,5,3,2,6,1,7,4,4,14,22
node,771802403.0,atm,Сбербанк,Сбербанк,,,1,1,0,3,5,6,2,1,9,13,11,15,36
node,791443260.0,atm,ПАО Сбербанк,Сбербанк,,,1,1,0,1,3,0,3,1,3,5,2,5,14
